Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-01-08,CES,5076,HAN,PVG,T2,,1,,false,,2024-01-08T02:25,2024-01-08T02:25,,,,,2024-01-08T06:25,2024-01-08T06:32,Airbus A321,,,,,,,,170fb32c-61f0-45cd-bcf5-d0bd251d2a5e,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,8a81e164-4c8e-4c01-8b04-b2497c51c090,94ecd389-4c82-477f-8502-261c27f5b6fa,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-01-08,CES,529,PVG,NGO,1,31,1,,false,,2024-01-08T09:30,2024-01-08T09:37,,,,,2024-01-08T12:35,2024-01-08T13:05,Airbus A321,,,,,,,,6275a0fc-7e1e-4226-868a-ac43fb3a8e57,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,de1f99fa-4f8f-4534-bf03-6f0925260747,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-02-03,CES,720,NGO,PVG,1,15,1,,false,,2024-02-03T17:00,2024-02-03T17:09,,,,,2024-02-03T18:55,2024-02-03T19:13,Airbus A320neo,,,,,,,,f543f7d0-8175-4fc3-ba25-4eb37747f81e,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,de1f99fa-4f8f-4534-bf03-6f0925260747,94ecd389-4c82-477f-8502-261c27f5b6fa,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2024-02-03,CES,5075,PVG,HAN,1,G123,T2,,false,,2024-02-03T22:35,2024-02-03T22:49,,,,,2024-02-04T01:25,2024-02-04T02:03,Airbus A321,,,,,,,,bc5da0a3-9ced-4107-b586-972fdd95d9dc,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,8a81e164-4c8e-4c01-8b04-b2497c51c090,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-02-28,CES,5076,HAN,PVG,T2,29,1,,false,,2024-02-28T02:25,2024-02-28T02:32,,,,,2024-02-28T06:25,2024-02-28T06:30,Airbus A321,,,,,,,,920e5578-7014-48fd-8eac-52e4bbca7787,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,8a81e164-4c8e-4c01-8b04-b2497c51c090,94ecd389-4c82-477f-8502-261c27f5b6fa,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-02-28,CES,8637,PVG,NGO,1,,1,,false,,2024-02-28T11:25,,,,,,2024-02-28T15:00,2024-02-28T14:35,Boeing 737-800,,,,,,,,f3179b51-c46d-4f8f-97a2-37b9fa0b357a,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,de1f99fa-4f8f-4534-bf03-6f0925260747,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-03-03,ANA,86,NGO,HND,1,8,2,,false,,2024-03-03T07:20,2024-03-03T07:21,,,,,2024-03-03T08:25,2024-03-03T08:18,Boeing 737-800,,,,,,,,4504d06e-fb41-4543-91e5-5255a004b92f,c1ace35c-3515-410b-ad40-219189967eff,de1f99fa-4f8f-4534-bf03-6f0925260747,deceac13-5547-4a5a-9877-06e35ae80304,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-03-03,ANA,102,HND,IAD,3,146,Main,,false,,2024-03-03T10:50,2024-03-03T11:02,,,,,2024-03-03T09:20,2024-03-03T09:24,Boeing 787-9,,,,,,,,2a18f3af-7578-4c94-a9ee-68e36f2822f7,c1ace35c-3515-410b-ad40-219189967eff,deceac13-5547-4a5a-9877-06e35ae80304,519696f5-bda6-457c-ae4c-dd1cb07e20de,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-03-03,UAL,1347,IAD,RDU,Main,C23,2,D19,false,,2024-03-03T12:40,2024-03-03T12:32,,,,,2024-03-03T13:53,2024-03-03T13:36,Boeing 737-900ER,,,,,,,,90483a55-6d0d-4b46-968f-cbbf4099064d,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,7852b092-092d-4c60-a638-d43993aa2899,,24012541-435d-4a27-af8a-4791336f1965
2024-03-09,ANA,7567,RDU,ORD,2,D17,2,E6,false,,2024-03-09T06:38,2024-03-09T06:35,,,,,2024-03-09T08:03,2024-03-09T07:48,Boeing 737-800,,,,,,,,24f743e3-e66e-4b71-aef1-9e76b587519f,c1ace35c-3515-410b-ad40-219189967eff,7852b092-092d-4c60-a638-d43993aa2899,a5eff314-18e7-4c87-bd38-0131882f1b8d,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
